date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2018-01-09,always train (rows 1-551),-0.127453,-0.061422,0.467571,-0.067962,-0.011485,-0.217754,0.138107,-0.424579,1.585706,0.506916,0.130293,2751.290039
2018-01-10,always train (rows 1-551),-0.238136,0.130121,-0.329931,-0.453411,-0.022945,-0.015985,1.275735,-0.795204,-0.117929,1.100417,-0.111223,2748.229980
2018-01-11,always train (rows 1-551),1.781828,0.172059,0.263912,0.296084,0.568009,-0.037269,0.525267,0.987427,0.569559,0.535160,0.703365,2767.560059
2018-01-12,always train (rows 1-551),2.233923,1.672587,1.514214,1.725702,1.032663,-4.473565,1.678843,0.678737,0.669943,1.651011,0.674960,2786.239990
2018-01-16,always train (rows 1-551),-0.026059,0.004421,-0.044559,-1.395119,-0.508245,-0.546347,0.061853,-0.628465,0.754659,-0.355023,-0.352449,2776.419922
2018-01-17,always train (rows 1-551),-0.755631,0.742905,0.911084,2.026047,1.651619,1.840321,-0.442844,1.184328,0.081702,0.641310,0.941505,2802.560059
2018-01-18,always train (rows 1-551),-0.129729,-0.274773,-0.193470,-0.044379,0.089335,1.238738,-0.452933,-0.647722,-0.040781,0.238960,-0.161639,2798.030029
2018-01-19,always train (rows 1-551),0.662870,0.097417,0.683305,-0.110969,-0.446277,0.828685,0.028143,-0.320261,0.299447,-0.220727,0.438524,2810.300049
2018-01-22,always train (rows 1-551),2.528241,1.806718,1.608789,1.788886,-0.818092,2.250570,1.275499,1.262189,0.529350,1.168061,0.806673,2832.969971
2018-01-23,always train (rows 1-551),2.654237,1.031647,1.225111,0.316549,0.022608,2.147051,-0.189843,0.056661,-4.259487,-0.104977,0.217437,2839.129883
2018-01-24,always train (rows 1-551),-0.369157,-0.414911,-0.489759,-0.087049,-1.592884,-1.478756,0.023197,0.260464,0.169206,1.278341,-0.055998,2837.540039
2018-01-25,always train (rows 1-551),1.505691,0.926338,0.526522,0.555443,-1.785129,0.498518,-0.236536,-0.180725,1.640024,0.025926,0.060262,2839.250000
2018-01-26,always train (rows 1-551),1.748978,0.458488,0.467369,1.873667,0.233805,1.344159,0.971639,0.712902,0.644070,0.535879,1.184120,2872.870117
2018-01-29,always train (rows 1-551),1.114799,-0.090941,-0.022113,-0.148818,-2.069851,-2.115811,-0.796536,-1.112346,-1.135381,-0.103165,-0.673197,2853.530029
2018-01-30,always train (rows 1-551),1.420625,-0.767817,-1.011400,-1.256358,-0.589435,0.612980,-0.487331,-1.397574,-0.870001,-0.938018,-1.089882,2822.429932
2018-01-31,always train (rows 1-551),0.909020,0.411930,0.537076,2.447686,0.275512,-0.122907,-0.013991,0.599202,-2.976884,0.486472,0.048899,2823.810059
2018-02-01,always train (rows 1-551),-4.196737,-0.053298,-0.191452,-0.789376,0.209034,3.317450,1.338742,2.027530,1.324262,1.037446,-0.064809,2821.979980
2018-02-02,always train (rows 1-551),2.874097,-5.280174,-2.631022,-4.778628,-4.339011,-1.455288,-3.742235,-5.097148,-1.671200,-2.216145,-2.120855,2762.129883
2018-02-05,always train (rows 1-551),-2.793801,-4.118543,-5.075939,-5.045420,-2.498436,-4.740377,-5.891351,-5.690245,-5.294865,-4.795238,-4.097923,2648.939941
2018-02-06,always train (rows 1-551),3.801436,3.784057,2.074570,2.348918,4.179163,2.234357,2.256099,-1.718540,1.104369,3.042243,1.744092,2695.139893
2018-02-07,always train (rows 1-551),-1.806162,-1.883279,-2.676056,-2.963164,-2.140716,-2.768326,-0.432325,-0.310997,-1.799628,0.677948,-0.500159,2681.659912
2018-02-08,always train (rows 1-551),-4.678208,-5.133327,-4.519562,-4.487965,-2.751639,-4.773011,-4.466735,-1.130776,-3.850242,-4.421032,-3.753642,2581.000000
2018-02-09,always train (rows 1-551),-0.807106,3.728962,3.826477,3.620483,1.223156,2.640171,2.403096,2.508699,0.637488,2.002222,1.493609,2619.550049
2018-02-12,always train (rows 1-551),3.480885,1.077335,0.792350,1.364440,4.027851,0.170342,1.464134,0.844526,0.571296,1.544907,1.391458,2656.000000
2018-02-13,always train (rows 1-551),2.040068,0.785406,-0.039826,0.015221,1.001760,-1.847955,-0.452508,-0.156996,-0.237979,0.617489,0.261293,2662.939941
2018-02-14,always train (rows 1-551),2.583221,1.565772,1.760673,1.672850,1.843757,3.678898,1.287938,0.209682,-0.223131,2.312552,1.340246,2698.629883
2018-02-15,always train (rows 1-551),0.738086,2.037249,1.739536,1.852869,3.357837,0.245082,1.675477,1.203041,-0.326983,0.417287,1.206911,2731.199951
2018-02-16,always train (rows 1-551),-0.894122,-0.712273,0.379341,0.484605,-0.323728,-1.444763,-0.053948,1.463084,0.433028,-0.718534,0.037347,2732.219971
2018-02-20,always train (rows 1-551),1.357090,0.782589,0.738470,0.699663,-0.336364,-0.761169,-0.363114,-1.712345,-1.032140,0.026150,-0.584139,2716.260010
2018-02-21,always train (rows 1-551),0.992271,0.920640,0.805479,-1.326591,-0.453870,1.079489,-0.999753,-0.733595,-1.135301,0.418460,-0.549650,2701.330078
2018-02-22,always train (rows 1-551),0.163184,0.262317,-0.133930,-0.634935,0.835913,0.607051,-0.144269,0.000000,1.295252,-0.182312,0.097355,2703.959961
